_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
2007,4.0,4,43,3.0,3.0,3.0,10/13/2017,3.0,3.0,3.0,3.0,,5.0,3.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154490,66.0,3.0,437  GLEN PARK AVE ,3.0,3.0,08,3.0,1962.0,2017.0
2008,3.0,3,34,3.0,3.0,3.0,02/07/2019,3.0,3.0,3.0,3.0,,5.0,3.0,3.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4154503,64.0,3.0,61  NEPTUNE DR ,4.0,,08,3.0,1959.0,2017.0
2009,4.0,4,52,4.0,3.0,4.0,02/21/2019,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154867,76.0,4.0,3  BIGGIN CRT ,4.0,3.0,16,4.0,1955.0,2017.0
2010,4.0,4,64,5.0,4.0,4.0,02/20/2019,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154871,81.0,5.0,21  ECCLESTON DR ,4.0,4.0,16,3.0,1960.0,2017.0
2011,4.0,4,61,5.0,4.0,4.0,02/20/2019,2.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154874,84.0,5.0,3  ECCLESTON DR ,5.0,5.0,16,3.0,1960.0,2017.0
2012,,8,128,3.0,3.0,4.0,10/23/2017,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,18,4.0,3.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4155405,70.0,4.0,1540  KIPLING AVE ,4.0,,02,3.0,1992.0,2017.0
2013,4.0,11,126,2.0,2.0,3.0,12/27/2018,3.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,3.0,19,,1.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155406,66.0,5.0,675  MARTIN GROVE RD ,2.0,3.0,02,3.0,1972.0,2017.0
2014,2.0,3,39,,4.0,3.0,12/19/2018,4.0,4.0,3.0,2.0,,4.0,2.0,2.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4155411,64.0,4.0,111  BLACKFRIAR AVE ,3.0,,01,4.0,1968.0,
2015,3.0,16,194,4.0,3.0,3.0,01/24/2019,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,20,4.0,2.0,PRIVATE,Evaluation needs to be conducted in 1 year,4155778,64.0,3.0,775  STEELES AVE W,3.0,3.0,18,3.0,1966.0,2017.0
2016,4.0,6,58,5.0,4.0,4.0,03/01/2019,4.0,3.0,4.0,3.0,,4.0,4.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155783,78.0,5.0,101  MARLEE AVE ,4.0,4.0,08,3.0,1955.0,2017.0
2017,4.0,17,233,4.0,3.0,4.0,11/28/2017,3.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,19,4.0,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155793,72.0,4.0,120  WIDDICOMBE HILL BLVD ,3.0,,02,3.0,1973.0,2017.0
2018,5.0,11,263,5.0,4.0,4.0,11/07/2017,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,19,5.0,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4155796,88.0,4.0,125  BONIS AVE ,4.0,,22,5.0,1976.0,2017.0
2019,3.0,17,371,5.0,4.0,4.0,02/04/2019,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155809,78.0,4.0,191  SHERBOURNE ST ,4.0,4.0,13,4.0,1975.0,2017.0
2020,3.0,4,28,,2.0,4.0,01/16/2018,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,17,,2.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4155977,66.0,4.0,37  DURNFORD RD ,3.0,,25,4.0,1992.0,2018.0
2021,,9,207,4.0,3.0,4.0,01/12/2018,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,18,4.0,3.0,TCHC,Evaluation needs to be conducted in 2 years,4156361,78.0,4.0,600  ROGERS RD ,4.0,,05,3.0,1990.0,2017.0
2022,,3,23,,3.0,3.0,01/30/2019,4.0,4.0,4.0,4.0,,5.0,3.0,4.0,3.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156367,73.0,4.0,4  GREENBROOK DR ,3.0,,05,4.0,1954.0,2017.0
2023,4.0,7,129,3.0,3.0,3.0,12/15/2017,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156383,69.0,4.0,106  GOODWOOD PARK CRT ,4.0,,19,3.0,1961.0,2017.0
2024,,3,25,,3.0,3.0,01/22/2019,3.0,3.0,3.0,4.0,,5.0,3.0,3.0,4.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153006,69.0,4.0,70  WILSON PARK RD ,4.0,,04,4.0,1970.0,2017.0
2025,,5,27,,3.0,4.0,12/27/2018,4.0,4.0,3.0,4.0,,5.0,3.0,4.0,3.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153014,76.0,4.0,122  DOWLING AVE ,4.0,,04,4.0,1930.0,2017.0
2026,4.0,11,62,4.0,3.0,4.0,12/11/2017,4.0,3.0,3.0,4.0,,5.0,3.0,4.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153023,72.0,4.0,190  JAMESON AVE ,3.0,,04,3.0,1963.0,2019.0
2027,,3,11,,3.0,3.0,01/18/2019,2.0,3.0,3.0,3.0,,5.0,2.0,3.0,3.0,13,,,PRIVATE,Evaluation needs to be conducted in 1 year,4153027,60.0,4.0,1479  QUEEN ST W,3.0,,04,2.0,1917.0,2017.0
2028,3.0,5,48,3.0,3.0,3.0,10/06/2017,4.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,18,,5.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153030,68.0,3.0,149  JAMESON AVE ,3.0,,04,3.0,1910.0,2017.0
2029,4.0,7,73,4.0,4.0,3.0,01/09/2019,4.0,4.0,4.0,4.0,,4.0,4.0,3.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153034,73.0,4.0,177  JAMESON AVE ,3.0,3.0,04,4.0,1957.0,2017.0
2030,,10,82,3.0,3.0,3.0,12/21/2017,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,18,3.0,4.0,TCHC,Evaluation needs to be conducted in 2 years,4153478,67.0,3.0,330  JARVIS ST ,3.0,,13,4.0,1995.0,2017.0
2031,4.0,12,96,4.0,4.0,4.0,01/04/2019,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4153486,81.0,4.0,100  ALEXANDER ST ,4.0,4.0,13,4.0,1968.0,2017.0
2032,,4,45,,3.0,4.0,12/06/2017,3.0,3.0,3.0,2.0,,4.0,4.0,4.0,4.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153494,68.0,4.0,54  MAITLAND ST ,3.0,,13,3.0,1927.0,2017.0
2033,,8,88,3.0,3.0,3.0,12/18/2017,4.0,3.0,4.0,4.0,,3.0,3.0,3.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153497,66.0,4.0,85  WELLESLEY ST E,3.0,,13,4.0,1965.0,2018.0
2034,4.0,4,16,,4.0,4.0,12/18/2018,3.0,4.0,3.0,4.0,,5.0,4.0,3.0,4.0,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153503,75.0,4.0,135  EARL PL ,4.0,,13,3.0,1925.0,
2035,3.0,3,10,,4.0,4.0,03/12/2019,3.0,3.0,4.0,4.0,,5.0,4.0,4.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153998,75.0,5.0,893  AVENUE RD ,4.0,3.0,12,4.0,1960.0,2017.0
2036,4.0,13,172,4.0,3.0,3.0,11/13/2017,3.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154008,68.0,4.0,30  EDITH DR ,4.0,,08,4.0,1968.0,2017.0
2037,,3,36,,4.0,4.0,03/01/2019,3.0,4.0,4.0,4.0,,5.0,3.0,3.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154013,74.0,4.0,487  DUPLEX AVE ,3.0,4.0,08,3.0,1900.0,2017.0
2038,,3,25,,3.0,4.0,11/20/2017,3.0,3.0,3.0,3.0,,5.0,3.0,4.0,3.0,14,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154030,67.0,4.0,45  LORINDALE AVE ,3.0,,08,3.0,1957.0,2017.0
2039,4.0,3,11,,4.0,4.0,01/30/2019,4.0,3.0,4.0,3.0,,5.0,5.0,5.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154507,81.0,5.0,24  WASDALE CRES ,4.0,,08,4.0,1950.0,2017.0
2040,4.0,3,11,,4.0,3.0,11/27/2017,3.0,4.0,4.0,4.0,,4.0,2.0,4.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154508,70.0,3.0,28  WASDALE CRES ,4.0,,08,3.0,1975.0,2017.0
2041,3.0,3,10,,4.0,3.0,01/30/2019,3.0,3.0,4.0,3.0,,4.0,3.0,3.0,3.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154509,68.0,5.0,30  WASDALE CRES ,3.0,3.0,08,4.0,1956.0,2017.0
2042,3.0,3,11,,4.0,4.0,02/21/2019,4.0,4.0,4.0,4.0,,5.0,3.0,5.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154518,80.0,5.0,25  HOTSPUR RD ,4.0,,08,4.0,1956.0,2017.0
2043,3.0,3,10,,4.0,4.0,02/22/2019,3.0,3.0,3.0,3.0,,5.0,3.0,4.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154525,70.0,4.0,24  HOTSPUR RD ,4.0,,08,3.0,1952.0,2017.0
2044,4.0,3,11,,3.0,3.0,02/27/2019,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4154540,64.0,4.0,67  WASDALE CRES ,3.0,,08,4.0,1956.0,2017.0
2045,4.0,3,11,,4.0,4.0,02/13/2019,2.0,,,3.0,,3.0,4.0,4.0,3.0,13,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154545,69.0,4.0,41  WASDALE CRES ,3.0,,08,3.0,1960.0,2017.0
2046,3.0,7,87,4.0,3.0,4.0,03/04/2019,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,19,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154908,75.0,5.0,57  PARKWOODS VILLAGE DR ,4.0,3.0,16,3.0,1965.0,2017.0
2047,3.0,7,81,4.0,4.0,4.0,03/05/2019,3.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154912,76.0,4.0,71  PARKWOODS VILLAGE DR ,4.0,,16,3.0,1962.0,
2048,4.0,5,64,3.0,3.0,4.0,11/10/2017,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154921,74.0,4.0,32  CLAYLAND DR ,4.0,3.0,16,3.0,1967.0,2017.0
2049,5.0,8,65,5.0,4.0,5.0,01/31/2019,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154926,93.0,5.0,1216  YORK MILLS RD ,5.0,4.0,16,4.0,1964.0,2017.0
2050,4.0,3,45,,4.0,4.0,12/05/2018,4.0,5.0,5.0,5.0,,5.0,3.0,3.0,3.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4155427,83.0,5.0,25  JANSUSIE RD ,3.0,5.0,01,4.0,1963.0,2017.0
2051,4.0,3,16,,4.0,4.0,12/11/2018,3.0,4.0,3.0,3.0,,5.0,2.0,4.0,3.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155438,74.0,5.0,2366  ISLINGTON AVE ,4.0,,01,3.0,1950.0,2017.0
2052,,11,194,4.0,4.0,4.0,12/06/2018,4.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,19,5.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4155446,80.0,5.0,2314  ISLINGTON AVE ,3.0,4.0,01,4.0,1977.0,2017.0
2053,3.0,23,227,4.0,4.0,4.0,12/10/2018,4.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155452,73.0,3.0,2677  KIPLING AVE ,4.0,,01,4.0,1978.0,2017.0
2054,3.0,16,171,3.0,4.0,3.0,10/19/2017,4.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155838,68.0,4.0,2960  DON MILLS RD W,3.0,,17,4.0,1960.0,2017.0
2055,4.0,6,84,4.0,3.0,4.0,11/20/2017,3.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,20,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155850,72.0,4.0,3810  BATHURST ST ,4.0,3.0,06,3.0,2005.0,2017.0
2056,4.0,23,336,2.0,3.0,4.0,10/30/2017,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156013,74.0,4.0,255  GLENLAKE AVE ,4.0,,04,4.0,1986.0,2017.0
2057,3.0,15,203,3.0,3.0,3.0,01/28/2019,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,19,,3.0,TCHC,Evaluation needs to be conducted in 2 years,4156390,66.0,4.0,2739  VICTORIA PARK AVE ,4.0,3.0,22,4.0,1971.0,2017.0
2058,4.0,4,48,,3.0,3.0,12/20/2017,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,18,4.0,3.0,TCHC,Evaluation needs to be conducted in 2 years,4156734,66.0,3.0,145  NEPTUNE DR ,3.0,,08,3.0,1974.0,2017.0
2059,3.0,4,30,,4.0,3.0,12/14/2017,4.0,3.0,4.0,3.0,,5.0,4.0,3.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152631,69.0,3.0,40  CRAIGTON DR ,3.0,3.0,21,4.0,1955.0,2017.0
2060,4.0,4,29,,3.0,3.0,12/01/2017,4.0,3.0,3.0,4.0,,5.0,3.0,3.0,2.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152633,68.0,4.0,1  RANNOCK ST ,2.0,,21,4.0,1955.0,2017.0
2061,,4,28,,3.0,3.0,01/11/2019,4.0,4.0,3.0,3.0,,5.0,3.0,3.0,2.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 1 year,4152634,65.0,2.0,5  RANNOCK ST ,3.0,,21,4.0,1959.0,2017.0
2062,,3,22,,3.0,3.0,03/11/2019,3.0,3.0,3.0,3.0,,5.0,3.0,4.0,4.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4153049,65.0,3.0,246  RONCESVALLES AVE ,3.0,,04,3.0,1969.0,2017.0
2063,,3,22,,3.0,3.0,03/11/2019,3.0,3.0,3.0,3.0,,5.0,3.0,4.0,4.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4153050,65.0,3.0,244  RONCESVALLES AVE ,3.0,,04,3.0,1967.0,2017.0
2064,,4,16,,,,,,,,,,,,,,0,,,PRIVATE,Building Audit,4153052,49.0,,320  RONCESVALLES AVE ,,,04,,1918.0,
2065,4.0,6,80,3.0,4.0,5.0,10/24/2017,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,19,5.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4153055,81.0,5.0,1709  BLOOR ST W,3.0,,04,4.0,1992.0,2017.0
2066,,3,25,,3.0,3.0,12/07/2018,3.0,2.0,2.0,3.0,,3.0,2.0,3.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4153056,56.0,3.0,1643  BLOOR ST W,3.0,3.0,04,3.0,1930.0,2019.0
2067,,3,13,,3.0,4.0,12/17/2018,4.0,4.0,3.0,4.0,,5.0,4.0,3.0,4.0,14,,,TCHC,Evaluation needs to be conducted in 2 years,4153062,74.0,3.0,22  O'HARA AVE ,3.0,,04,5.0,1918.0,2017.0
2068,4.0,22,280,5.0,4.0,4.0,12/21/2018,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4153066,82.0,4.0,55  TRILLER AVE ,4.0,4.0,04,4.0,1966.0,2017.0
2069,4.0,21,250,4.0,3.0,4.0,11/09/2017,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,19,3.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153516,75.0,5.0,57  CHARLES ST W,4.0,,11,3.0,1977.0,2017.0
2070,,32,147,4.0,4.0,4.0,10/19/2017,3.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153517,76.0,4.0,55  CHARLES ST W,4.0,,11,4.0,1981.0,2017.0
2071,4.0,4,22,4.0,4.0,4.0,03/12/2019,4.0,3.0,4.0,3.0,,4.0,4.0,4.0,4.0,17,4.0,,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153524,78.0,4.0,50  EARL ST ,4.0,,13,4.0,1993.0,2017.0
2072,4.0,14,101,4.0,4.0,5.0,02/22/2019,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,19,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4153533,82.0,4.0,59  ISABELLA ST ,4.0,,13,4.0,1963.0,2017.0
2073,3.0,25,260,4.0,3.0,4.0,10/19/2017,3.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153537,66.0,4.0,25  ST MARY ST ,3.0,,13,3.0,1965.0,2017.0
2074,,4,28,,4.0,3.0,02/25/2019,4.0,4.0,4.0,3.0,,5.0,4.0,4.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153545,79.0,4.0,96  ISABELLA ST ,4.0,,13,4.0,1917.0,2017.0
2075,4.0,6,102,3.0,3.0,3.0,12/14/2017,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154036,68.0,4.0,100  GOODWOOD PARK CRT ,3.0,,19,4.0,1956.0,2017.0
2076,4.0,4,43,3.0,4.0,4.0,10/04/2017,3.0,3.0,4.0,3.0,,5.0,3.0,3.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154038,68.0,4.0,540  DAWES RD ,2.0,,19,3.0,1959.0,2017.0
2077,4.0,8,84,4.0,4.0,4.0,10/17/2017,4.0,4.0,4.0,3.0,,5.0,4.0,3.0,3.0,19,5.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154057,77.0,4.0,7  PARK VISTA  ,3.0,3.0,19,5.0,1971.0,2017.0
2078,4.0,4,31,,3.0,4.0,12/13/2018,4.0,4.0,3.0,4.0,,5.0,4.0,3.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154067,76.0,4.0,2890  ST CLAIR AVE E,4.0,,19,4.0,1960.0,2017.0
2079,3.0,6,56,4.0,4.0,4.0,10/11/2017,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154069,72.0,4.0,970  O'CONNOR DR ,4.0,3.0,19,3.0,1960.0,2017.0
2080,4.0,3,10,,3.0,3.0,01/15/2019,4.0,4.0,3.0,4.0,,4.0,2.0,3.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154547,70.0,5.0,35  WASDALE CRES ,3.0,,08,4.0,1955.0,2017.0
2081,4.0,12,181,5.0,4.0,3.0,02/22/2019,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,19,4.0,4.0,TCHC,Evaluation needs to be conducted in 2 years,4154558,77.0,4.0,3174  BATHURST ST ,4.0,,08,4.0,1983.0,2017.0
2082,,3,26,,3.0,3.0,10/11/2017,3.0,3.0,3.0,3.0,,5.0,4.0,4.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154561,68.0,4.0,14  SARANAC BLVD ,3.0,3.0,08,3.0,1954.0,2017.0
2083,4.0,5,132,5.0,5.0,4.0,12/20/2018,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,19,4.0,4.0,TCHC,Evaluation needs to be conducted in 3 years,4154567,85.0,5.0,495  WILSON AVE ,3.0,,06,4.0,1995.0,2017.0
2084,4.0,3,10,,3.0,3.0,12/21/2017,4.0,3.0,3.0,3.0,,5.0,3.0,4.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154568,68.0,3.0,417  WILSON AVE ,4.0,,06,3.0,1958.0,2017.0
2085,3.0,3,10,,3.0,3.0,10/17/2017,3.0,3.0,3.0,3.0,,5.0,4.0,3.0,3.0,16,,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4154571,66.0,4.0,409  WILSON AVE ,3.0,,06,3.0,1958.0,2017.0
2086,,3,40,,4.0,3.0,03/12/2019,4.0,4.0,4.0,4.0,,5.0,3.0,4.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154572,75.0,4.0,390-398  WILSON AVE ,4.0,2.0,06,4.0,1952.0,2017.0
2087,,3,11,,4.0,5.0,03/04/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154583,83.0,4.0,9  ROSSEAU RD ,4.0,4.0,06,4.0,1955.0,2017.0
2088,,4,32,,4.0,4.0,03/12/2019,4.0,4.0,4.0,5.0,,5.0,4.0,4.0,4.0,15,,,PRIVATE,Evaluation needs to be conducted in 3 years,4154934,85.0,5.0,1531  BATHURST ST ,5.0,4.0,12,4.0,1943.0,2017.0
2089,4.0,23,175,4.0,3.0,5.0,12/29/2017,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154940,70.0,4.0,111  RAGLAN AVE ,3.0,,12,3.0,1967.0,2017.0
2090,,4,32,,3.0,3.0,03/01/2019,3.0,3.0,3.0,4.0,,2.0,4.0,3.0,3.0,14,,,PRIVATE,Evaluation needs to be conducted in 1 year,4154962,61.0,4.0,50  RAGLAN AVE ,3.0,,12,3.0,1928.0,2018.0
2091,,4,31,,4.0,4.0,02/20/2019,4.0,4.0,4.0,5.0,,5.0,3.0,4.0,3.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154967,79.0,4.0,105  KENWOOD AVE ,3.0,,12,4.0,1950.0,2017.0
2092,4.0,26,283,4.0,5.0,5.0,12/27/2017,5.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4155855,83.0,5.0,3  SUMMERLAND TER ,4.0,,03,4.0,2012.0,2017.0
2093,,3,16,,3.0,3.0,02/14/2019,4.0,3.0,3.0,3.0,,4.0,4.0,3.0,3.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 1 year,4155865,65.0,3.0,50  GLEN EVEREST RD ,2.0,,20,4.0,1952.0,2018.0
2094,,3,12,,4.0,4.0,12/13/2018,3.0,4.0,3.0,4.0,,4.0,3.0,3.0,3.0,13,,,PRIVATE,Evaluation needs to be conducted in 2 years,4155872,69.0,4.0,592  CHURCH ST ,3.0,,13,3.0,1910.0,2017.0
2095,4.0,3,35,3.0,3.0,4.0,11/07/2017,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155887,72.0,4.0,70  HEATH ST W,3.0,4.0,12,3.0,1959.0,2017.0
2096,3.0,5,87,3.0,3.0,3.0,11/28/2017,3.0,4.0,4.0,3.0,,5.0,3.0,2.0,3.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155890,66.0,4.0,746  MIDLAND AVE ,3.0,,20,3.0,1959.0,2017.0
2097,4.0,12,164,4.0,4.0,4.0,11/14/2017,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156043,76.0,5.0,275  CASSANDRA BLVD ,3.0,,16,4.0,1965.0,2017.0
2098,4.0,3,30,4.0,4.0,4.0,02/25/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,17,,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4156441,81.0,4.0,201  VAUGHAN RD ,4.0,,12,5.0,2009.0,2017.0
2099,,9,83,5.0,4.0,4.0,01/10/2018,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,18,4.0,5.0,TCHC,Evaluation needs to be conducted in 3 years,4156772,92.0,5.0,180  SACKVILLE ST ,4.0,,13,5.0,2015.0,2017.0
2100,4.0,6,71,4.0,4.0,4.0,10/12/2017,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,19,4.0,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4152663,81.0,4.0,2265  VICTORIA PARK AVE ,4.0,,21,4.0,1964.0,2017.0
2101,4.0,6,102,3.0,4.0,3.0,10/25/2017,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,20,4.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4152677,74.0,4.0,835-841  BIRCHMOUNT RD ,3.0,3.0,20,4.0,1992.0,2017.0
2102,3.0,6,75,3.0,3.0,4.0,10/26/2017,2.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,2.0,18,,5.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152678,68.0,4.0,2223  EGLINTON AVE E,3.0,,20,2.0,1971.0,2017.0
